fedstate;lignite;hard coal;natural gas;oil;other;onshore;offshore;solar pv;biomass;water other ee;DSM;PtG;PtH_industry
BW;0;2,3;1,9;0;1,2;3,7;0;14,6;0,7;1;0,7;0;1,5
BY;0;0;4,7;0;1,3;2,6;0;22,4;1,2;2,5;0,8;0,2;1,6
BE;0;0;1,3;0;0,2;0;0;1,1;0;0;0,1;0;1
BB;1,6;0;0,2;0,3;0,6;10,1;0;6,5;0,4;0;0,1;0;1
HB;0;0,1;0,5;0;0,4;0,5;0;0,4;0;0;0,1;0;0,3
HH;0;1,6;0,3;0;0,3;0,1;0;0,6;0;0;0,2;0,1;0,5
HE;0;0;1,7;0;0,7;3,9;0;6;0,2;0,1;0,4;0;0,8
MV;0;0;0,4;0;0,2;6,4;2,2;4,2;0,3;0;0;0,1;0,7
NI;0;0,9;2,4;0;1,2;17,3;10,2;10,2;1,1;0,1;0,7;0,5;1,6
NW;3,2;3,3;8,4;0,1;3,3;9,8;0;16;0,7;0,6;1,7;0,9;3,9
RP;0;0;1,7;0;0,5;9,8;0;5,6;0,1;0,2;0,4;0,2;0,5
SL;0;0;0,3;0;0,2;0,4;0;1,3;0;0,1;0,1;0;0,3
SN;3,3;0;0,6;0;0,5;1,8;0;4,4;0,3;0,1;0,2;0,2;0,6
ST;1;0;0,8;0,1;0,6;6,7;0;4,4;0,4;0;0,2;0,4;0,6
SH;0;0;0,5;0;0,3;12,3;4;4;0,4;0;0,2;0,2;1,4
TH;0;0;0,5;0;0,3;3,7;0;2,8;0,2;0;0,1;0;0,3
